depth,age,error,dR,dSTD,cc,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
10.795,26.0,0.11,0.0,0.2,2.0,29.580016309822053,29.581415830157976,29.4184646759139,29.745163218821062,29.285024491778376,29.85977850265372
11.75,29.03,0.39,0.0,0.2,2.0,32.37273320900737,32.37756987651883,32.17306603453306,32.5837843078501,31.969217580618857,32.793787870060356
11.995,29.6,0.24,0.0,0.2,2.0,33.172047647774754,33.171125588125605,33.00616240457709,33.33323157117415,32.829098458060166,33.518059240866975
12.03,29.66,0.14,0.0,0.2,2.0,33.28933683756314,33.285412191089385,33.12849410519544,33.44241951597451,32.95212592513052,33.616618786842054
12.16,29.95,0.36,0.0,0.2,2.0,33.69950999634919,33.69946867642198,33.53592378985209,33.87034683102065,33.346397918552015,34.034815821662846
12.67,32.41,0.42,0.0,0.2,2.0,35.38781087693911,35.38492031762684,35.23149288616155,35.542910147197745,35.066224764925984,35.70761933615123
12.795,31.8,0.36,0.0,0.2,2.0,35.82897539332702,35.822119089394455,35.67112953236005,35.97774213049322,35.49528411127837,36.12922362147188
12.83,32.27,0.19,0.0,0.2,2.0,35.94241698157899,35.93911486140416,35.78142329913893,36.1001996725556,35.590602444811175,36.2523429789911
13.36,34.32,0.72,0.0,0.2,2.0,37.69779061540322,37.69490922255178,37.498161443696475,37.887180393807796,37.32107930639956,38.076908890290575
13.405,33.74,0.43,0.0,0.2,2.0,37.8508549703545,37.851325383271686,37.656788290336834,38.03869939002922,37.48196452697978,38.23469247791932
13.51,33.74,0.23,0.0,0.2,2.0,38.245645548263276,38.239012910329826,38.04761934711736,38.421382644614404,37.88192170802625,38.599962973585605
13.615,35.3,0.46,0.0,0.2,2.0,38.667509247292195,38.67357002975871,38.47801058884471,38.86465470658722,38.28953585826286,39.092250390587274
13.785,35.7,0.49,0.0,0.2,2.0,39.3855980566793,39.387825834280264,39.19563250338269,39.58332207438867,38.995727859982814,39.79877859659909
14.04,36.01,0.6,0.0,0.2,2.0,40.252833271920835,40.26038894850566,40.04794386734249,40.4695868734168,39.845569665338424,40.73161168904048
14.16,36.64,0.97,0.0,0.2,2.0,40.61299848185068,40.625185072303985,40.40625819166794,40.84393540763425,40.18550223107264,41.10854759327289
14.39,37.7,0.68,0.0,0.2,2.0,41.34552180662312,41.36126132626132,41.14526899515275,41.59238040562284,40.95445832051006,41.828729001277175
14.74,40.45,0.43,0.0,0.2,2.0,42.905894545907174,42.92059095398114,42.72066577487951,43.11794413439755,42.52168357461501,43.392680231748336
14.815,41.37,1.12,0.0,0.2,2.0,43.362432146490704,43.37599855925763,43.148513690144775,43.59217074092015,42.950969341531035,43.86508838775203
14.83,42.2,1.1,0.0,0.2,2.0,43.4592390749707,43.472292657438786,43.24283017837634,43.69181651240972,43.05402809367062,43.95045677911692
15.35,46.94,0.96,0.0,0.2,2.0,46.86676695506364,46.860373626267396,46.56679975584457,47.133467583978536,46.320566283533225,47.37420677066026
15.405,45.2,1.7,0.0,0.2,2.0,47.17215751611162,47.16078222528007,46.873037923365146,47.43565327811984,46.61401783796214,47.68797948026905
15.46,45.2,0.77,0.0,0.2,2.0,47.45225146972674,47.443051327904854,47.16311431774522,47.72017634971582,46.86842758300556,48.00833325282244
15.48,46.9,1.8,0.0,0.2,2.0,47.55049955562974,47.541853711731946,47.26315926342125,47.81023650536125,46.976684435766,48.093381283742616
15.815,46.1,1.8,0.0,0.2,2.0,49.011344171572695,49.02210619514048,48.681940733141296,49.37202722322678,48.399364335814006,49.714845298331824
15.98,48.13,1.4,0.0,0.2,2.0,49.713547033150235,49.7235134143803,49.366234812616135,50.08855248025858,49.05373836923198,50.43423905815562
