depth,d18O,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
1.66,4.04133,14.909292486363967,14.891221023353697,14.69564876003491,15.083167844795469,14.518581825711667,15.250478338165962
1.68,4.35411,15.016918177626911,15.009254188790543,14.82617532577773,15.193892496301395,14.646796613559045,15.344987899098987
1.7,4.50019,15.13697933799287,15.126477350582437,14.948154494021376,15.299651363834714,14.776168327485157,15.444987471357273
1.78,4.49345,15.553385357232818,15.552243296834211,15.41471269197253,15.69515063674469,15.252751705556173,15.845982640714414
1.82,4.55912,15.755434763054433,15.75446077638464,15.617651278836677,15.887632064971772,15.499243323283487,16.0168201756732
1.84,4.50501,15.862009690493668,15.85573231523643,15.718926113663946,15.987875680310934,15.608977685007265,16.11831400023597
1.86,4.79501,15.959088068956042,15.956211650826102,15.816874079357566,16.083089795564625,15.69842831553425,16.22396765888655
1.9,4.83751,16.14684407168562,16.149826146896615,16.001527808238293,16.29081107653893,15.885808623548934,16.433499065469523
1.94,4.91203,16.32516457182664,16.329596074684098,16.1760568981576,16.485318459260156,16.03434663372821,16.64535869169074
1.98,4.85275,16.48696298630582,16.499393286280757,16.33678491516832,16.66159408697154,16.182056730607968,16.83146448697759
2.02,5.01182,16.667343453609444,16.664155261670967,16.491734336820507,16.841160173137972,16.330466901769338,17.009385697456363
2.06,4.96763,16.827757717767795,16.826942749783463,16.640048788687846,16.999333457667806,16.478520777845937,17.200465518712104
2.1,5.11151,16.984656598390277,16.984955418206074,16.791502307796787,17.173511063952006,16.616199378375153,17.356711933882952
2.18,5.02386,17.297143976074533,17.297919020464864,17.099203300633945,17.48573472159961,16.9220063601762,17.662852832766454
2.22,5.10244,17.46610989377142,17.465232509946308,17.264430853052808,17.661519533708734,17.09253983606464,17.846092187668994
2.26,5.06575,17.64469244334547,17.64478135464072,17.442931275826158,17.846165519715786,17.28298385248988,18.00149910110921
2.3,5.16486,17.838363885678298,17.84023103149281,17.639672047699385,18.040596838364465,17.46126013487043,18.22453737142965
2.34,5.24131,18.041955495212754,18.046428782034937,17.839876429302254,18.251944371783576,17.659574041341802,18.458068199161406
2.42,5.17739,18.472543880222904,18.466699524550542,18.252331144158987,18.664783862116725,18.091279519552916,18.87783980045493
2.44,5.20828,18.56966668040905,18.570345828876203,18.366120941603292,18.770308923594367,18.18867656121033,18.978838230886335
2.48,5.35158,18.774068838561146,18.77997757083783,18.576524997979963,18.9766610056792,18.40020830545311,19.194217178625593
2.5,5.24917,18.879234814674557,18.887350112555353,18.681134280591085,19.099044819728196,18.49873142603366,19.32106136223615
2.52,5.30554,18.98900261619759,18.99776188212123,18.786868790622485,19.22115014071013,18.605937350520083,19.424196177921694
2.62,5.00524,19.570858040614603,19.577426578805074,19.35615085918394,19.814015784621,19.122760463916183,20.044493412445068
2.64,5.18357,19.69270795805179,19.696295357501054,19.471294405260565,19.933910189456263,19.250715222522913,20.151292371581718
2.66,5.06391,19.80917084868421,19.81424221538015,19.591112349545327,20.048441106796066,19.38745290979672,20.251508054481214
2.86,5.15062,20.897959870934898,20.891812795085702,20.672421605979682,21.1189517835578,20.431842639277676,21.330975789421846
2.9,5.09196,21.07772052705981,21.076552787324555,20.843021062579652,21.318765260479235,20.5985073342649,21.533605979900035
2.98,5.05414,21.42682882369282,21.42236251812782,21.175102554000414,21.662179025799936,20.933337923074397,21.89763854564876
3.06,5.13414,21.762633922328625,21.754789209124823,21.530743779698,21.977551689098906,21.27412975154747,22.230045740705805
3.1,5.11596,21.9409807495442,21.93231578178344,21.72465868917117,22.141270897966542,21.48054261277023,22.38253754255529
3.12,5.13473,22.02964002017073,22.025865782640825,21.825237583865555,22.232390369418763,21.590098482122457,22.482020184827327
3.14,5.12795,22.13307524922554,22.124211134621365,21.919660251847752,22.33660006338437,21.695694902563634,22.563466597331065
3.18,5.18391,22.340991226514408,22.337161505925206,22.11177223338058,22.559521837266814,21.896045485683604,22.789062671296005
3.22,4.99048,22.56679758817974,22.569800610674744,22.334116874120447,22.81184281042335,22.1140841248071,23.06053469832498
3.26,5.17658,22.820173819244165,22.819997111073313,22.56398025265755,23.079119373099722,22.326562274867644,23.31401751044082
