depth,d18O,age_median,age_mean,age_ci68_lower,age_ci68_upper,age_ci95_lower,age_ci95_upper
0.84,3.1,3.1015067539420884,3.10092614879993,2.888343399968696,3.314891981439521,2.694910260872043,3.4938676350809903
0.89,3.11,3.5362996108215343,3.531178821214588,3.32431089845049,3.740241179044123,3.1039633108170093,3.9425079447005666
0.94,3.16,3.8997441550371144,3.9028509980789,3.6955911199537574,4.109488647836966,3.4737190507105926,4.3277336822664525
0.99,3.07,4.2173285708759884,4.22093126005973,4.03040225671456,4.42797778696166,3.805621263248171,4.607939625882711
1.03,3.59,4.447206609057011,4.449902732175453,4.265506400943313,4.643165210402578,4.056391339543937,4.818839888897657
1.08,3.57,4.707677230804282,4.711888807877643,4.526270655411031,4.89684965702361,4.337976413760296,5.078928115940183
1.13,3.57,4.952184729614762,4.9537060329577525,4.768314523037298,5.141894060586985,4.592094328155155,5.314252303232935
1.18,2.98,5.179947886472133,5.185648865559105,4.995177852452976,5.368568730858851,4.825937815181114,5.567235861156199
1.23,3.31,5.419243023017143,5.421245432819085,5.240876680996837,5.605119191691705,5.051849831954577,5.808946822110379
1.28,3.11,5.672571056931359,5.670441896098482,5.477017549911326,5.8582133439503234,5.29037529896084,6.061488423935236
1.33,3.08,5.9294978311163655,5.930047635255553,5.721331963265591,6.133579946208688,5.532417948585297,6.329671220815224
1.38,3.05,6.2041127988114475,6.19494636871681,5.972211079103608,6.410700387579179,5.757729940385441,6.619708304126161
1.43,3.08,6.468770651806654,6.4565834519064484,6.2367842011603205,6.66197152265434,6.005680822709671,6.878761897656639
1.5,3.08,6.820775654793852,6.80564877034807,6.587853639627225,7.021369500334332,6.3313788184255975,7.190202225297654
1.55,3.15,7.055715596186895,7.040208914016695,6.819186868452591,7.243024399028822,6.58124033343673,7.407459052671699
1.6,3.24,7.2702091937382995,7.252351946412924,7.037105965464368,7.456436432538032,6.813375762947273,7.6251465548665145
1.65,3.16,7.453879102447937,7.442715425355246,7.226042557715114,7.647947089785722,6.978412167139054,7.84784629505083
1.7,3.19,7.6325374330847815,7.624913118538345,7.415042314030703,7.831380126965556,7.189349416690174,8.08600118949817
1.75,3.18,7.809696563917237,7.814707513577259,7.597608032876155,8.022089666652164,7.38326520917474,8.30341144958262
1.8,3.14,8.02422608697047,8.031477086815615,7.814195475818366,8.245422604836692,7.642116962287673,8.504722361195277
1.85,3.53,8.268217004797144,8.296040551475762,8.077430702424905,8.513484585099015,7.9213167554650505,8.789851200363449
1.9,3.48,8.612388509116478,8.631339623668824,8.419177430442408,8.84985541207377,8.266408594478307,9.124242297793721
2.01,3.29,9.500292756600917,9.498008899722514,9.294487811277339,9.706931296140498,9.037116039711277,9.913100530557319
2.03,3.7,9.652597977287027,9.650706486756647,9.445852378437078,9.863048815527216,9.188714665406925,10.074961506092821
2.08,3.25,10.003678693251388,10.009528460163361,9.799689390056459,10.232058252692918,9.52728471641152,10.43287742732292
2.13,3.1,10.335840451700475,10.340060980166403,10.12065277242614,10.56419506161423,9.890842718367274,10.76434831811083
2.18,3.31,10.64843449428946,10.654205140249877,10.442762640496486,10.866465847717985,10.191800249509456,11.101642984450544
2.33,3.37,11.488307842174597,11.500404983890869,11.324092897290281,11.69572489226154,11.100467740346184,11.901127699887008
2.38,3.41,11.750514869909367,11.755945064327014,11.57504179713753,11.943321009730195,11.37405243278656,12.129446277922847
2.43,3.21,12.000197182686343,12.004543179935517,11.829196521753516,12.191013833841025,11.618210309605796,12.366777664380814
2.48,3.24,12.255700265618188,12.251764079083792,12.075818775329198,12.422667932465727,11.883594770009442,12.588477632695946
2.51,3.63,12.406797995238229,12.398405321551612,12.231483669119521,12.556637532105073,12.055771336063108,12.712672143566701
2.56,3.63,12.641393092974399,12.62859755435157,12.484696500500974,12.779181663576113,12.27536289139551,12.928839984554838
2.61,3.77,12.831203163062582,12.825520434760255,12.678468825014875,12.98102024182973,12.491694034480282,13.103111010278775
2.66,3.8,12.990564274985143,12.991856276566207,12.851357822478686,13.145485386059631,12.672432017750715,13.307249318405677
2.71,3.73,13.141965259354343,13.147000823280043,13.001638740760372,13.299171133274896,12.83103445673889,13.466832201418349
2.76,3.73,13.301523664141707,13.306378451467472,13.154044709016556,13.466788212780003,12.991531151989927,13.656739039199469
2.81,3.89,13.485537083952174,13.48832777900073,13.324513922337387,13.658511401231934,13.17411002308891,13.840582349815444
2.86,3.88,13.697600483676005,13.70088441348655,13.530965227027448,13.883486149194246,13.351156059615244,14.052075468182037
2.91,3.95,13.932352691275,13.942791783904878,13.751741547355644,14.131215124336185,13.584976922829998,14.336549686190057
